Employee_ID,State,District,Occupation,Industry,Skill_Level,Employment_Type,Gender,Age,Experience_Years,Working_Days,Hours_Per_Day,Total_Hours_Worked,Overtime_Hours,Weekend_Hours,Night_Shift,Minimum_Hourly_Wage,Actual_Hourly_Wage,Expected_Salary,Actual_Salary,Bonus,Legal_Deductions,Illegal_Deductions,PF_Deduction,ESI_Deduction,Attendance_Percentage,Leaves_Taken,Contract_Type,Company_Size,Company_Type,Payslip_Provided,Bank_Payment,Overtime_Paid,Minimum_Wage_Violation,Overtime_Violation,Illegal_Deduction_Violation,Late_Payment,Salary_Delay_Days,Complaint_History,Union_Member,Risk_Score,Wage_Theft,Theft_Type
EMP015012,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,59,15,26,8,206,3,3,No,246,236,52152,50716,1679,15,2696,791,700,95,4,Monthly,Large,Contractor,Yes,Yes,No,Yes,Yes,Yes,No,0,Yes,No,85,Yes,Multiple Violations
EMP015013,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,47,21,26,8,233,18,2,Yes,236,236,63484,65449,784,1046,0,201,548,84,2,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015014,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,34,3,26,8,206,26,6,No,352,352,90816,88599,2794,616,568,1489,138,84,4,Monthly,Medium,Government,Yes,Yes,No,No,Yes,Yes,Yes,12,Yes,Yes,65,Yes,Multiple Violations
EMP015015,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,25,19,26,8,199,4,4,Yes,175,175,36225,38532,2178,870,0,1390,38,98,1,Monthly,Small,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015016,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,24,11,26,8,185,16,5,No,554,554,120218,122540,2239,941,0,1759,336,95,2,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015017,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,60,3,26,8,186,27,6,Yes,161,161,38640,38670,1561,1356,0,560,623,97,2,Monthly,Medium,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015018,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,60,20,26,8,204,11,2,Yes,418,408,94468,91166,2397,479,0,1368,314,100,2,Monthly,Large,Government,Yes,Yes,No,Yes,Yes,No,Yes,9,Yes,No,80,Yes,Multiple Violations
EMP015019,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Female,29,10,26,8,220,8,2,Yes,275,265,64900,61017,513,1472,0,640,581,100,4,Monthly,Large,Contractor,Yes,Yes,No,Yes,Yes,No,No,0,Yes,No,65,Yes,Multiple Violations
EMP015020,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,23,18,26,8,234,1,4,No,267,267,63012,64152,2996,108,0,1467,443,92,4,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015021,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,50,3,26,8,207,18,2,Yes,359,359,87237,89645,1436,468,0,932,591,91,0,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015022,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,41,2,26,8,228,14,1,No,195,195,49920,44119,685,202,0,143,464,93,0,Monthly,Medium,Government,Yes,Yes,No,No,Yes,No,No,0,Yes,Yes,30,Yes,Unpaid Overtime
EMP015023,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,30,24,26,8,198,19,2,No,325,325,76700,78497,898,832,0,772,28,93,1,Monthly,Medium,Private,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015024,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,24,3,26,8,204,5,8,No,147,147,31458,33415,2432,572,0,1545,737,93,4,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015025,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,46,9,26,8,217,25,1,No,171,171,45657,43231,1167,437,0,127,330,98,0,Monthly,Medium,Private,Yes,Yes,No,No,Yes,No,No,0,Yes,Yes,30,Yes,Unpaid Overtime
EMP015026,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,31,10,26,8,227,16,0,Yes,172,172,44548,44802,1482,1226,0,1369,560,84,3,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015027,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,32,10,26,8,226,17,6,Yes,447,447,116220,116867,1971,1161,0,724,423,92,2,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015028,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,29,26,26,8,216,15,2,No,308,298,75768,70689,2386,448,0,169,27,93,2,Monthly,Small,Private,Yes,Yes,No,Yes,Yes,No,No,0,No,No,65,Yes,Multiple Violations
EMP015029,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Female,47,13,26,8,196,23,7,Yes,138,138,33396,31231,2166,1109,0,1035,452,98,1,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,Yes,10,Yes,No,15,Yes,Delayed Salary
EMP015030,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,50,26,26,8,232,22,5,Yes,203,203,56028,58504,2941,1148,0,291,546,96,1,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015031,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,27,28,26,8,225,20,5,No,273,273,72345,68987,1057,954,2417,987,595,99,3,Monthly,Small,Contractor,Yes,Yes,Yes,No,No,Yes,No,0,No,No,20,Yes,Illegal Deduction
EMP015032,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,30,21,26,8,185,5,1,No,253,253,49335,49783,2677,649,0,473,460,89,4,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015033,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,19,8,26,8,210,8,7,No,113,113,25538,26516,345,95,0,1584,168,98,4,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015034,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,31,27,26,8,204,21,7,No,170,170,41820,43232,484,0,0,582,43,94,5,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015035,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,43,17,26,8,201,7,4,Yes,233,233,50095,48275,914,1276,2356,913,581,95,0,Monthly,Large,Government,Yes,Yes,Yes,No,No,Yes,No,0,Yes,Yes,20,Yes,Illegal Deduction
EMP015036,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Female,28,20,26,8,192,23,3,Yes,134,134,31892,29551,1436,1136,0,1057,370,85,1,Monthly,Large,Government,Yes,Yes,No,No,Yes,No,No,0,Yes,Yes,30,Yes,Unpaid Overtime
EMP015037,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Female,45,17,26,8,234,6,5,No,236,236,58056,52349,856,1047,0,949,639,96,2,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,Yes,10,No,Yes,15,Yes,Delayed Salary
EMP015038,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Female,42,20,26,8,195,26,0,No,275,265,67925,66068,2812,642,1064,1648,216,93,5,Monthly,Medium,Contractor,Yes,Yes,No,Yes,Yes,Yes,No,0,No,No,85,Yes,Multiple Violations
EMP015039,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,40,2,26,8,215,21,8,No,144,144,37008,39234,2808,602,0,520,25,84,2,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015040,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,37,1,26,8,195,21,2,Yes,347,347,82239,76587,2231,425,996,1780,798,98,3,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,Yes,Yes,26,No,No,35,Yes,Multiple Violations
EMP015041,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,29,9,26,8,193,11,0,No,158,148,33970,28604,1862,763,0,239,675,84,1,Monthly,Small,Contractor,Yes,Yes,Yes,Yes,No,No,Yes,25,No,Yes,50,Yes,Multiple Violations
EMP015042,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,41,26,26,8,208,19,7,No,263,263,64698,60532,2403,393,663,1639,437,99,1,Monthly,Medium,Private,Yes,Yes,No,No,Yes,Yes,No,0,Yes,Yes,50,Yes,Multiple Violations
EMP015043,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,35,1,26,8,207,24,5,No,224,224,57120,54419,2218,1019,1763,161,733,89,1,Monthly,Large,Government,Yes,Yes,No,No,Yes,Yes,No,0,Yes,Yes,50,Yes,Multiple Violations
EMP015044,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,35,18,26,8,202,3,0,No,159,149,33072,31119,562,594,0,677,516,100,5,Monthly,Small,Contractor,Yes,Yes,No,Yes,Yes,No,Yes,24,No,No,80,Yes,Multiple Violations
EMP015045,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,57,29,26,8,207,16,5,No,320,320,76480,78049,2002,783,0,1569,685,87,3,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015046,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,25,28,26,8,191,16,1,No,125,115,27875,24516,177,96,0,1177,607,97,3,Monthly,Medium,Government,Yes,Yes,No,Yes,Yes,No,No,0,Yes,No,65,Yes,Multiple Violations
EMP015047,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,36,16,26,8,229,15,6,Yes,111,111,28749,25833,2128,371,2061,1338,775,88,5,Monthly,Small,Private,Yes,Yes,Yes,No,No,Yes,No,0,No,Yes,20,Yes,Illegal Deduction
EMP015048,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,23,2,26,8,195,21,4,No,307,307,72759,74820,1978,1075,0,977,141,80,4,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015049,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,34,30,26,8,186,0,7,Yes,161,151,29946,25906,2348,1398,0,1302,52,91,3,Monthly,Small,Contractor,Yes,Yes,Yes,Yes,No,No,Yes,29,Yes,No,50,Yes,Multiple Violations
EMP015050,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,56,20,26,8,213,22,6,Yes,168,168,43176,45087,1284,193,0,759,186,94,5,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015051,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,35,25,26,8,222,4,8,Yes,450,450,103500,103664,1743,73,0,209,437,94,3,Monthly,Medium,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015052,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,19,18,26,8,227,18,5,Yes,237,237,62331,64393,2414,908,0,822,567,81,4,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015053,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,44,26,26,8,196,6,3,Yes,144,144,29952,30176,1774,909,0,204,716,87,2,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015054,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,52,17,26,8,199,17,7,No,129,129,30057,31607,1288,3,0,1073,462,82,3,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015055,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,26,1,26,8,205,16,0,Yes,208,208,49296,48209,2051,479,0,139,359,98,1,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,Yes,14,No,No,15,Yes,Delayed Salary
EMP015056,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,41,11,26,8,188,28,5,No,513,513,125172,126947,1619,323,0,76,1,88,2,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015057,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,47,29,26,8,219,29,1,Yes,171,171,47367,42205,1271,835,0,1451,666,85,1,Monthly,Medium,Contractor,Yes,Yes,No,No,Yes,No,No,0,No,No,30,Yes,Unpaid Overtime
EMP015058,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,29,8,26,8,186,14,1,Yes,229,219,49006,47987,1615,1247,0,448,222,82,5,Monthly,Large,Government,Yes,Yes,No,Yes,Yes,No,Yes,10,No,Yes,80,Yes,Multiple Violations
EMP015059,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,47,25,26,8,205,15,7,Yes,167,167,39245,39694,937,470,0,1295,415,100,5,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015060,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,54,30,26,8,233,3,5,No,231,231,55209,53021,1480,954,0,1151,81,97,2,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,Yes,10,Yes,Yes,15,Yes,Delayed Salary
EMP015061,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Female,23,16,26,8,225,5,7,Yes,215,215,50525,51237,1380,1181,0,289,759,97,1,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015062,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,35,16,26,8,189,10,8,Yes,118,118,24662,25820,244,831,0,1104,80,84,4,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015063,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,19,14,26,8,199,13,6,Yes,166,166,37350,38863,1763,211,0,61,492,100,2,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015064,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,60,1,26,8,226,2,0,Yes,240,240,55200,56203,0,277,0,747,314,96,5,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015065,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,34,1,26,8,200,3,5,Yes,544,534,112064,110460,328,1048,0,360,503,85,1,Monthly,Small,Government,Yes,Yes,No,Yes,Yes,No,No,0,Yes,No,65,Yes,Multiple Violations
EMP015066,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,43,19,26,8,190,23,1,Yes,121,121,28556,29362,1169,63,0,1652,80,83,5,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015067,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,36,13,26,8,197,4,6,No,143,133,29315,28106,2266,216,0,929,719,82,1,Monthly,Medium,Private,Yes,Yes,Yes,Yes,No,No,Yes,11,No,No,50,Yes,Multiple Violations
EMP015068,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,29,15,26,8,209,17,1,No,132,122,32076,26192,1558,160,0,532,488,84,2,Monthly,Small,Contractor,Yes,Yes,No,Yes,Yes,No,Yes,9,Yes,Yes,80,Yes,Multiple Violations
EMP015069,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,20,28,26,8,187,18,2,Yes,161,161,35903,33609,563,1423,1486,1030,104,82,1,Monthly,Small,Private,Yes,Yes,No,No,Yes,Yes,No,0,No,Yes,50,Yes,Multiple Violations
EMP015070,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,19,10,26,8,203,2,1,Yes,159,159,32913,27922,1202,1282,0,813,191,96,1,Monthly,Small,Contractor,Yes,Yes,Yes,No,No,No,Yes,10,Yes,No,15,Yes,Delayed Salary
EMP015071,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,29,21,26,8,205,0,6,No,152,152,31160,33526,2992,1144,0,418,53,84,4,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015072,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,18,24,26,8,195,21,1,Yes,378,378,89586,88184,2946,465,1682,1230,131,98,2,Monthly,Small,Government,Yes,Yes,No,No,Yes,Yes,Yes,13,No,Yes,65,Yes,Multiple Violations
EMP015073,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,60,29,26,8,206,22,2,Yes,409,399,102250,101441,242,1442,0,490,354,96,5,Monthly,Small,Government,Yes,Yes,Yes,Yes,No,No,No,0,No,No,35,Yes,Minimum Wage Violation
EMP015074,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,56,13,26,8,200,14,7,No,188,178,42864,39846,2174,658,0,1518,675,86,2,Monthly,Small,Contractor,Yes,Yes,Yes,Yes,No,No,No,0,No,No,35,Yes,Minimum Wage Violation
EMP015075,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,44,26,26,8,200,22,6,Yes,196,196,47824,43629,2808,774,2163,1373,277,99,3,Monthly,Small,Private,Yes,Yes,Yes,No,No,Yes,No,0,Yes,Yes,20,Yes,Illegal Deduction
EMP015076,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,55,24,26,8,194,15,0,Yes,223,213,49952,47802,415,1273,0,1169,170,98,5,Monthly,Large,Private,Yes,Yes,No,Yes,Yes,No,Yes,10,No,No,80,Yes,Multiple Violations
EMP015077,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,25,24,26,8,202,29,2,Yes,173,173,44980,40957,1792,433,2058,242,338,89,4,Monthly,Medium,Government,Yes,Yes,No,No,Yes,Yes,No,0,No,Yes,50,Yes,Multiple Violations
EMP015078,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,21,4,26,8,204,24,0,Yes,151,151,38052,40476,35,1123,0,196,502,83,3,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015079,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,32,4,26,8,215,7,1,No,440,440,100760,102805,2310,315,0,777,273,98,3,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015080,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Male,41,6,26,8,209,22,8,No,293,293,74129,68914,792,642,0,1644,492,98,5,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,Yes,21,Yes,Yes,15,Yes,Delayed Salary
EMP015081,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Male,40,2,26,8,229,24,8,Yes,176,176,48752,43132,724,14,2551,1426,168,87,4,Monthly,Medium,Private,Yes,Yes,No,No,Yes,Yes,No,0,Yes,No,50,Yes,Multiple Violations
EMP015082,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,34,14,26,8,210,8,7,Yes,173,173,39098,39759,2244,1092,0,1325,468,85,5,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015083,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,21,14,26,8,230,22,5,Yes,155,145,42470,41960,2455,965,2066,60,615,96,3,Monthly,Medium,Government,Yes,Yes,Yes,Yes,No,Yes,Yes,23,No,Yes,70,Yes,Multiple Violations
EMP015084,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,23,2,26,8,214,1,4,Yes,392,392,84672,85668,2534,310,0,1542,748,91,1,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015085,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,49,28,26,8,229,4,4,No,424,424,100488,97766,516,1210,0,1362,485,85,1,Monthly,Large,Government,Yes,Yes,No,No,Yes,No,No,0,No,No,30,Yes,Unpaid Overtime
EMP015086,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Male,39,0,26,8,205,28,2,Yes,229,229,59769,60650,2932,346,0,997,777,84,1,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015087,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,31,21,26,8,226,11,5,No,249,249,61752,64198,1140,1277,0,1320,520,80,0,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015088,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,30,9,26,8,216,21,0,Yes,600,600,154800,155450,1536,1003,0,970,561,84,1,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015089,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,57,13,26,8,220,30,6,Yes,110,110,30800,33099,2259,1159,0,1502,440,97,1,Monthly,Medium,Private,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015090,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,19,25,26,8,207,9,0,No,151,151,33975,35970,2569,414,0,1216,237,86,0,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015091,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,36,4,26,8,200,27,5,No,235,235,59690,60275,459,961,0,1436,188,93,4,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015092,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,32,18,26,8,192,25,4,No,431,421,104302,100080,1251,754,0,24,342,85,1,Monthly,Medium,Contractor,Yes,Yes,No,Yes,Yes,No,No,0,No,Yes,65,Yes,Multiple Violations
EMP015093,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,56,5,26,8,199,24,0,Yes,221,211,54587,50617,954,1198,0,905,728,86,5,Monthly,Medium,Government,Yes,Yes,Yes,Yes,No,No,No,0,No,Yes,35,Yes,Minimum Wage Violation
EMP015094,Tamil Nadu,District Y,Delivery Partner,Manufacturing,Skilled,Permanent,Male,36,4,26,8,212,22,3,No,183,183,46848,48714,2107,502,0,822,307,83,3,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP015095,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Female,23,27,26,8,225,10,4,Yes,144,134,35280,33697,247,1013,0,598,44,89,3,Monthly,Medium,Government,Yes,Yes,No,Yes,Yes,No,No,0,No,Yes,65,Yes,Multiple Violations
