state,job_category,skill_level,min_wage_day,min_wage_month,max_hours_day,max_hours_week,overtime_multiplier,weekly_off,vda,last_updated
Gujarat,Cook,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Rajasthan,Cook,Unskilled,765,19890,8,48,2,1 day/week,Yes,2026
Delhi,Cook,Unskilled,775,20150,8,48,2,1 day/week,Yes,2026
West Bengal,Cook,Unskilled,785,20410,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Construction Labourer,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Karnataka,Construction Labourer,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Kerala,Construction Labourer,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Telangana,Construction Labourer,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Maharashtra,Construction Labourer,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Construction Labourer,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
Gujarat,Construction Labourer,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Rajasthan,Construction Labourer,Unskilled,780,20280,8,48,2,1 day/week,Yes,2026
Delhi,Construction Labourer,Unskilled,790,20540,8,48,2,1 day/week,Yes,2026
West Bengal,Construction Labourer,Unskilled,800,20800,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Helper,Unskilled,620,16120,8,48,2,1 day/week,Yes,2026
Karnataka,Helper,Unskilled,630,16380,8,48,2,1 day/week,Yes,2026
Kerala,Helper,Unskilled,640,16640,8,48,2,1 day/week,Yes,2026
Telangana,Helper,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Maharashtra,Helper,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Helper,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Gujarat,Helper,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Rajasthan,Helper,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Delhi,Helper,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
West Bengal,Helper,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Mason,Unskilled,635,16510,8,48,2,1 day/week,Yes,2026
Karnataka,Mason,Unskilled,645,16770,8,48,2,1 day/week,Yes,2026
Kerala,Mason,Unskilled,655,17030,8,48,2,1 day/week,Yes,2026
Telangana,Mason,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Maharashtra,Mason,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Mason,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Gujarat,Mason,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Rajasthan,Mason,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Delhi,Mason,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
West Bengal,Mason,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Painter,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Karnataka,Painter,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Kerala,Painter,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Telangana,Painter,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Maharashtra,Painter,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Painter,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Gujarat,Painter,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Rajasthan,Painter,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Delhi,Painter,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
West Bengal,Painter,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Machine Operator,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Karnataka,Machine Operator,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Kerala,Machine Operator,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Telangana,Machine Operator,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Maharashtra,Machine Operator,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Machine Operator,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Gujarat,Machine Operator,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Rajasthan,Machine Operator,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Delhi,Machine Operator,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
West Bengal,Machine Operator,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Delivery Executive,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Karnataka,Delivery Executive,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Kerala,Delivery Executive,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Telangana,Delivery Executive,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Maharashtra,Delivery Executive,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Delivery Executive,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Gujarat,Delivery Executive,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Rajasthan,Delivery Executive,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Delhi,Delivery Executive,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
West Bengal,Delivery Executive,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Hospital Attendant,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Karnataka,Hospital Attendant,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Kerala,Hospital Attendant,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Telangana,Hospital Attendant,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Maharashtra,Hospital Attendant,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Hospital Attendant,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
Gujarat,Hospital Attendant,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Rajasthan,Hospital Attendant,Unskilled,765,19890,8,48,2,1 day/week,Yes,2026
Delhi,Hospital Attendant,Unskilled,775,20150,8,48,2,1 day/week,Yes,2026
West Bengal,Hospital Attendant,Unskilled,785,20410,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Warehouse Worker,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Karnataka,Warehouse Worker,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Kerala,Warehouse Worker,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Telangana,Warehouse Worker,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Maharashtra,Warehouse Worker,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Warehouse Worker,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
Gujarat,Warehouse Worker,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Rajasthan,Warehouse Worker,Unskilled,780,20280,8,48,2,1 day/week,Yes,2026
Delhi,Warehouse Worker,Unskilled,790,20540,8,48,2,1 day/week,Yes,2026
West Bengal,Warehouse Worker,Unskilled,800,20800,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Packer,Unskilled,620,16120,8,48,2,1 day/week,Yes,2026
Karnataka,Packer,Unskilled,630,16380,8,48,2,1 day/week,Yes,2026
Kerala,Packer,Unskilled,640,16640,8,48,2,1 day/week,Yes,2026
Telangana,Packer,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Maharashtra,Packer,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Packer,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Gujarat,Packer,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Rajasthan,Packer,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Delhi,Packer,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
West Bengal,Packer,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Gardener,Unskilled,635,16510,8,48,2,1 day/week,Yes,2026
Karnataka,Gardener,Unskilled,645,16770,8,48,2,1 day/week,Yes,2026
Kerala,Gardener,Unskilled,655,17030,8,48,2,1 day/week,Yes,2026
Telangana,Gardener,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Maharashtra,Gardener,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Gardener,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Gujarat,Gardener,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Rajasthan,Gardener,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Delhi,Gardener,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
West Bengal,Gardener,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Watchman,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Karnataka,Watchman,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Kerala,Watchman,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Telangana,Watchman,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Maharashtra,Watchman,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Watchman,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Gujarat,Watchman,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Rajasthan,Watchman,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Delhi,Watchman,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
West Bengal,Watchman,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Mechanic,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Karnataka,Mechanic,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Kerala,Mechanic,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Telangana,Mechanic,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Maharashtra,Mechanic,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Mechanic,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Gujarat,Mechanic,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Rajasthan,Mechanic,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Delhi,Mechanic,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
West Bengal,Mechanic,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Cashier,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Karnataka,Cashier,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Kerala,Cashier,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Telangana,Cashier,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Maharashtra,Cashier,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Cashier,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Gujarat,Cashier,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Rajasthan,Cashier,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Delhi,Cashier,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
West Bengal,Cashier,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Retail Associate,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Karnataka,Retail Associate,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Kerala,Retail Associate,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Telangana,Retail Associate,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Maharashtra,Retail Associate,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Retail Associate,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
Gujarat,Retail Associate,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Rajasthan,Retail Associate,Unskilled,765,19890,8,48,2,1 day/week,Yes,2026
Delhi,Retail Associate,Unskilled,775,20150,8,48,2,1 day/week,Yes,2026
West Bengal,Retail Associate,Unskilled,785,20410,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Tailor,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Karnataka,Tailor,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Kerala,Tailor,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Telangana,Tailor,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Maharashtra,Tailor,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Tailor,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
Gujarat,Tailor,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Rajasthan,Tailor,Unskilled,780,20280,8,48,2,1 day/week,Yes,2026
Delhi,Tailor,Unskilled,790,20540,8,48,2,1 day/week,Yes,2026
West Bengal,Tailor,Unskilled,800,20800,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Loader,Unskilled,620,16120,8,48,2,1 day/week,Yes,2026
Karnataka,Loader,Unskilled,630,16380,8,48,2,1 day/week,Yes,2026
Kerala,Loader,Unskilled,640,16640,8,48,2,1 day/week,Yes,2026
Telangana,Loader,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Maharashtra,Loader,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Loader,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Gujarat,Loader,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Rajasthan,Loader,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Delhi,Loader,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
West Bengal,Loader,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Technician,Unskilled,635,16510,8,48,2,1 day/week,Yes,2026
Karnataka,Technician,Unskilled,645,16770,8,48,2,1 day/week,Yes,2026
Kerala,Technician,Unskilled,655,17030,8,48,2,1 day/week,Yes,2026
Telangana,Technician,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Maharashtra,Technician,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Technician,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Gujarat,Technician,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Rajasthan,Technician,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Delhi,Technician,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
West Bengal,Technician,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Fitter,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Karnataka,Fitter,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Kerala,Fitter,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Telangana,Fitter,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Maharashtra,Fitter,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Fitter,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Gujarat,Fitter,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Rajasthan,Fitter,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Delhi,Fitter,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
West Bengal,Fitter,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Assembler,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Karnataka,Assembler,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Kerala,Assembler,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Telangana,Assembler,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Maharashtra,Assembler,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Assembler,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Gujarat,Assembler,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Rajasthan,Assembler,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Delhi,Assembler,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
West Bengal,Assembler,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Quality Inspector,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Karnataka,Quality Inspector,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Kerala,Quality Inspector,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Telangana,Quality Inspector,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Maharashtra,Quality Inspector,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Quality Inspector,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Gujarat,Quality Inspector,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
